,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO,ISO_num
767,442,Luxembourg,2020,Percentage of individuals using the internet,98.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",LUX,442
774,450,Madagascar,2020,Percentage of individuals using the internet,13.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MDG,450
781,454,Malawi,2020,Percentage of individuals using the internet,18.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MWI,454
788,458,Malaysia,2020,Percentage of individuals using the internet,89.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MYS,458
795,462,Maldives,2020,Percentage of individuals using the internet,77.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MDV,462
802,466,Mali,2020,Percentage of individuals using the internet,27.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MLI,466
809,470,Malta,2020,Percentage of individuals using the internet,86.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MLT,470
822,478,Mauritania,2020,Percentage of individuals using the internet,53.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MRT,478
829,480,Mauritius,2020,Percentage of individuals using the internet,64.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MUS,480
837,484,Mexico,2020,Percentage of individuals using the internet,71.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MEX,484
844,492,Monaco,2020,Percentage of individuals using the internet,84.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MCO,492
850,496,Mongolia,2020,Percentage of individuals using the internet,65.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MNG,496
856,499,Montenegro,2020,Percentage of individuals using the internet,77.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MNE,499
864,504,Morocco,2020,Percentage of individuals using the internet,84.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MAR,504
871,508,Mozambique,2020,Percentage of individuals using the internet,16.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MOZ,508
877,104,Myanmar,2020,Percentage of individuals using the internet,42.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MMR,104
884,516,Namibia,2020,Percentage of individuals using the internet,48.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",NAM,516
