,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO,ISO_num
36,20,Andorra,2015,Percentage of individuals using the internet,87.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND,020
37,20,Andorra,2019,Percentage of individuals using the internet,90.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND,020
38,20,Andorra,2020,Percentage of individuals using the internet,93.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND,020
39,20,Andorra,2021,Percentage of individuals using the internet,93.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AND,020
40,24,Angola,2000,Percentage of individuals using the internet,0.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO,024
41,24,Angola,2005,Percentage of individuals using the internet,1.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO,024
42,24,Angola,2010,Percentage of individuals using the internet,2.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO,024
43,24,Angola,2015,Percentage of individuals using the internet,22.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO,024
44,24,Angola,2019,Percentage of individuals using the internet,32.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO,024
45,24,Angola,2020,Percentage of individuals using the internet,32.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO,024
46,24,Angola,2021,Percentage of individuals using the internet,32.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AGO,024
47,660,Anguilla,2000,Percentage of individuals using the internet,22.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AIA,660
48,660,Anguilla,2005,Percentage of individuals using the internet,29.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AIA,660
49,660,Anguilla,2010,Percentage of individuals using the internet,49.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AIA,660
50,660,Anguilla,2015,Percentage of individuals using the internet,76.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AIA,660
51,28,Antigua and Barbuda,2000,Percentage of individuals using the internet,6.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ATG,028
52,28,Antigua and Barbuda,2005,Percentage of individuals using the internet,27.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ATG,028
