,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO
37,18,Southern Africa,2010,Percentage of individuals using the internet,22.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF
38,18,Southern Africa,2015,Percentage of individuals using the internet,49.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF
39,18,Southern Africa,2019,Percentage of individuals using the internet,67.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF
40,18,Southern Africa,2020,Percentage of individuals using the internet,68.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF
41,18,Southern Africa,2021,Percentage of individuals using the internet,70.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF
42,11,Western Africa,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
43,11,Western Africa,2005,Percentage of individuals using the internet,2.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
44,11,Western Africa,2010,Percentage of individuals using the internet,7.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
45,11,Western Africa,2015,Percentage of individuals using the internet,18.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
46,11,Western Africa,2019,Percentage of individuals using the internet,36.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
47,11,Western Africa,2020,Percentage of individuals using the internet,42.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
48,11,Western Africa,2021,Percentage of individuals using the internet,48.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
49,21,Northern America,2000,Percentage of individuals using the internet,51.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
50,21,Northern America,2005,Percentage of individuals using the internet,68.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
51,21,Northern America,2010,Percentage of individuals using the internet,72.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
