,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO
351,132,Cabo Verde,2021,Percentage of individuals using the internet,69.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CPV
352,116,Cambodia,2000,Percentage of individuals using the internet,0.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",KHM
353,116,Cambodia,2005,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",KHM
354,116,Cambodia,2010,Percentage of individuals using the internet,1.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",KHM
355,116,Cambodia,2015,Percentage of individuals using the internet,18.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",KHM
356,116,Cambodia,2019,Percentage of individuals using the internet,52.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",KHM
357,116,Cambodia,2020,Percentage of individuals using the internet,53.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",KHM
358,116,Cambodia,2021,Percentage of individuals using the internet,60.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",KHM
359,120,Cameroon,2000,Percentage of individuals using the internet,0.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CMR
360,120,Cameroon,2005,Percentage of individuals using the internet,1.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CMR
361,120,Cameroon,2010,Percentage of individuals using the internet,4.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CMR
362,120,Cameroon,2015,Percentage of individuals using the internet,18.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CMR
363,120,Cameroon,2019,Percentage of individuals using the internet,36.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CMR
364,120,Cameroon,2020,Percentage of individuals using the internet,45.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CMR
365,120,Cameroon,2021,Percentage of individuals using the internet,45.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CMR
366,124,Canada,2000,Percentage of individuals using the internet,51.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAN
367,124,Canada,2005,Percentage of individuals using the internet,71.7,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAN
368,124,Canada,2010,Percentage of individuals using the internet,80.3,Break in the time series.;Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAN
369,124,Canada,2015,Percentage of individuals using the internet,90.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAN
370,124,Canada,2019,Percentage of individuals using the internet,91.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAN
371,124,Canada,2020,Percentage of individuals using the internet,92.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAN
372,124,Canada,2021,Percentage of individuals using the internet,92.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAN
373,136,Cayman Islands,2005,Percentage of individuals using the internet,38.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYM
374,136,Cayman Islands,2010,Percentage of individuals using the internet,66.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYM
375,136,Cayman Islands,2015,Percentage of individuals using the internet,77.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYM
376,140,Central African Republic,2000,Percentage of individuals using the internet,0.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAF
377,140,Central African Republic,2005,Percentage of individuals using the internet,0.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAF
378,140,Central African Republic,2010,Percentage of individuals using the internet,2.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAF
379,140,Central African Republic,2015,Percentage of individuals using the internet,2.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAF
380,140,Central African Republic,2019,Percentage of individuals using the internet,7.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAF
381,140,Central African Republic,2020,Percentage of individuals using the internet,8.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAF
382,140,Central African Republic,2021,Percentage of individuals using the internet,10.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CAF
383,148,Chad,2000,Percentage of individuals using the internet,0.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TCD
384,148,Chad,2005,Percentage of individuals using the internet,0.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TCD
385,148,Chad,2010,Percentage of individuals using the internet,1.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TCD
386,148,Chad,2015,Percentage of individuals using the internet,3.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TCD
387,148,Chad,2019,Percentage of individuals using the internet,8.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TCD
388,148,Chad,2020,Percentage of individuals using the internet,11.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TCD
389,148,Chad,2021,Percentage of individuals using the internet,17.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TCD
390,152,Chile,2000,Percentage of individuals using the internet,16.6,Population aged 5 years and over.;Refers to total population.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHL
391,152,Chile,2005,Percentage of individuals using the internet,31.2,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHL
392,152,Chile,2010,Percentage of individuals using the internet,45.0,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHL
393,152,Chile,2015,Percentage of individuals using the internet,76.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHL
394,152,Chile,2019,Percentage of individuals using the internet,85.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHL
395,152,Chile,2020,Percentage of individuals using the internet,86.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHL
396,152,Chile,2021,Percentage of individuals using the internet,90.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHL
397,156,China,2000,Percentage of individuals using the internet,1.8,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHN
398,156,China,2005,Percentage of individuals using the internet,8.5,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHN
399,156,China,2010,Percentage of individuals using the internet,34.3,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHN
400,156,China,2015,Percentage of individuals using the internet,50.3,"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Population aged 6 years and over.;Users in the last 6 months.;Data refer to permanent residents.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHN
401,156,China,2019,Percentage of individuals using the internet,64.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHN
402,156,China,2020,Percentage of individuals using the internet,70.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHN
403,156,China,2021,Percentage of individuals using the internet,73.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHN
404,344,"China, Hong Kong SAR",2000,Percentage of individuals using the internet,27.8,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HKG
405,344,"China, Hong Kong SAR",2005,Percentage of individuals using the internet,56.9,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HKG
406,344,"China, Hong Kong SAR",2010,Percentage of individuals using the internet,72.0,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HKG
407,344,"China, Hong Kong SAR",2015,Percentage of individuals using the internet,84.9,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HKG
408,344,"China, Hong Kong SAR",2019,Percentage of individuals using the internet,91.7,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HKG
409,344,"China, Hong Kong SAR",2020,Percentage of individuals using the internet,92.4,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HKG
410,344,"China, Hong Kong SAR",2021,Percentage of individuals using the internet,93.1,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HKG
411,446,"China, Macao SAR",2000,Percentage of individuals using the internet,13.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MAC
412,446,"China, Macao SAR",2005,Percentage of individuals using the internet,34.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MAC
413,446,"China, Macao SAR",2010,Percentage of individuals using the internet,55.2,Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MAC
414,446,"China, Macao SAR",2015,Percentage of individuals using the internet,77.6,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MAC
415,446,"China, Macao SAR",2019,Percentage of individuals using the internet,86.5,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MAC
416,446,"China, Macao SAR",2020,Percentage of individuals using the internet,88.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MAC
417,446,"China, Macao SAR",2021,Percentage of individuals using the internet,88.5,Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MAC
418,170,Colombia,2000,Percentage of individuals using the internet,2.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COL
419,170,Colombia,2005,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COL
420,170,Colombia,2010,Percentage of individuals using the internet,36.5,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COL
421,170,Colombia,2015,Percentage of individuals using the internet,55.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COL
422,170,Colombia,2019,Percentage of individuals using the internet,65.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COL
423,170,Colombia,2020,Percentage of individuals using the internet,70.9,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COL
424,170,Colombia,2021,Percentage of individuals using the internet,73.0,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COL
425,174,Comoros,2000,Percentage of individuals using the internet,0.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COM
426,174,Comoros,2005,Percentage of individuals using the internet,2.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COM
427,174,Comoros,2010,Percentage of individuals using the internet,5.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COM
428,174,Comoros,2015,Percentage of individuals using the internet,7.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COM
429,174,Comoros,2019,Percentage of individuals using the internet,16.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COM
430,174,Comoros,2020,Percentage of individuals using the internet,21.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COM
431,174,Comoros,2021,Percentage of individuals using the internet,27.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COM
432,178,Congo,2000,Percentage of individuals using the internet,0.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COG
433,178,Congo,2005,Percentage of individuals using the internet,1.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COG
434,178,Congo,2010,Percentage of individuals using the internet,5.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COG
435,178,Congo,2015,Percentage of individuals using the internet,7.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COG
436,184,Cook Islands,2000,Percentage of individuals using the internet,15.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COK
437,184,Cook Islands,2005,Percentage of individuals using the internet,26.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COK
438,184,Cook Islands,2010,Percentage of individuals using the internet,35.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COK
439,184,Cook Islands,2015,Percentage of individuals using the internet,51.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COK
440,188,Costa Rica,2000,Percentage of individuals using the internet,5.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CRI
441,188,Costa Rica,2005,Percentage of individuals using the internet,22.1,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CRI
442,188,Costa Rica,2010,Percentage of individuals using the internet,36.5,Users in the last 3 months.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CRI
443,188,Costa Rica,2015,Percentage of individuals using the internet,59.8,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CRI
444,188,Costa Rica,2019,Percentage of individuals using the internet,81.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CRI
445,188,Costa Rica,2020,Percentage of individuals using the internet,80.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CRI
446,188,Costa Rica,2021,Percentage of individuals using the internet,82.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CRI
447,384,Côte dIvoire,2000,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CIV
448,384,Côte dIvoire,2005,Percentage of individuals using the internet,1.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CIV
449,384,Côte dIvoire,2010,Percentage of individuals using the internet,2.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CIV
450,384,Côte dIvoire,2015,Percentage of individuals using the internet,16.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CIV
451,384,Côte dIvoire,2019,Percentage of individuals using the internet,36.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CIV
452,384,Côte dIvoire,2020,Percentage of individuals using the internet,41.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CIV
453,384,Côte dIvoire,2021,Percentage of individuals using the internet,45.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CIV
454,191,Croatia,2000,Percentage of individuals using the internet,6.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HRV
455,191,Croatia,2005,Percentage of individuals using the internet,33.1,Estimate.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HRV
456,191,Croatia,2010,Percentage of individuals using the internet,56.6,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HRV
457,191,Croatia,2015,Percentage of individuals using the internet,69.8,Users in the last 3 months.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HRV
458,191,Croatia,2019,Percentage of individuals using the internet,79.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HRV
459,191,Croatia,2020,Percentage of individuals using the internet,78.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HRV
460,191,Croatia,2021,Percentage of individuals using the internet,81.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",HRV
461,192,Cuba,2000,Percentage of individuals using the internet,0.5,Refers only to users with access to the international network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CUB
462,192,Cuba,2005,Percentage of individuals using the internet,9.7,Including users of the international network and also those having access only to the Cuban network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CUB
463,192,Cuba,2010,Percentage of individuals using the internet,15.9,Including users of the international network and also those having access only to the Cuban network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CUB
464,192,Cuba,2015,Percentage of individuals using the internet,37.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CUB
465,192,Cuba,2019,Percentage of individuals using the internet,68.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CUB
466,192,Cuba,2020,Percentage of individuals using the internet,71.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CUB
467,192,Cuba,2021,Percentage of individuals using the internet,71.1,Estimate.;Surveys collecting the releavant information were not carried out in 2021.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CUB
468,196,Cyprus,2000,Percentage of individuals using the internet,15.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYP
469,196,Cyprus,2005,Percentage of individuals using the internet,32.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYP
470,196,Cyprus,2010,Percentage of individuals using the internet,53.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYP
471,196,Cyprus,2015,Percentage of individuals using the internet,71.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYP
472,196,Cyprus,2019,Percentage of individuals using the internet,86.1,Use of the internet during the first quarter of the year.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYP
473,196,Cyprus,2020,Percentage of individuals using the internet,90.8,Use of the internet during the first quarter of the year.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYP
474,196,Cyprus,2021,Percentage of individuals using the internet,90.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CYP
475,203,Czechia,2000,Percentage of individuals using the internet,9.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CZE
476,203,Czechia,2005,Percentage of individuals using the internet,35.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CZE
477,203,Czechia,2010,Percentage of individuals using the internet,68.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CZE
478,203,Czechia,2015,Percentage of individuals using the internet,75.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CZE
479,203,Czechia,2019,Percentage of individuals using the internet,80.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CZE
480,203,Czechia,2020,Percentage of individuals using the internet,81.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CZE
481,203,Czechia,2021,Percentage of individuals using the internet,82.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CZE
482,408,Dem. People's Rep. Korea,2000,Percentage of individuals using the internet,0.0,Commercially not available. Local Intranet available in country.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",PRK
483,408,Dem. People's Rep. Korea,2005,Percentage of individuals using the internet,0.0,Commercially not available. Local Intranet available in country.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",PRK
484,408,Dem. People's Rep. Korea,2010,Percentage of individuals using the internet,0.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",PRK
485,180,Dem. Rep. of the Congo,2000,Percentage of individuals using the internet,0.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COD
486,180,Dem. Rep. of the Congo,2005,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COD
487,180,Dem. Rep. of the Congo,2010,Percentage of individuals using the internet,0.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COD
488,180,Dem. Rep. of the Congo,2015,Percentage of individuals using the internet,3.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COD
489,180,Dem. Rep. of the Congo,2019,Percentage of individuals using the internet,16.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COD
490,180,Dem. Rep. of the Congo,2020,Percentage of individuals using the internet,22.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COD
491,180,Dem. Rep. of the Congo,2021,Percentage of individuals using the internet,22.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",COD
492,208,Denmark,2000,Percentage of individuals using the internet,39.2,E-mail users.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DNK
493,208,Denmark,2005,Percentage of individuals using the internet,82.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DNK
494,208,Denmark,2010,Percentage of individuals using the internet,88.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DNK
495,208,Denmark,2015,Percentage of individuals using the internet,96.3,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DNK
496,208,Denmark,2019,Percentage of individuals using the internet,98.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DNK
497,208,Denmark,2020,Percentage of individuals using the internet,96.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DNK
498,208,Denmark,2021,Percentage of individuals using the internet,98.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DNK
499,262,Djibouti,2000,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DJI
500,262,Djibouti,2005,Percentage of individuals using the internet,1.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DJI
501,262,Djibouti,2010,Percentage of individuals using the internet,6.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DJI
502,262,Djibouti,2015,Percentage of individuals using the internet,22.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DJI
503,262,Djibouti,2019,Percentage of individuals using the internet,59.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DJI
504,262,Djibouti,2020,Percentage of individuals using the internet,61.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DJI
505,262,Djibouti,2021,Percentage of individuals using the internet,68.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DJI
506,212,Dominica,2000,Percentage of individuals using the internet,8.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DMA
507,212,Dominica,2005,Percentage of individuals using the internet,38.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DMA
508,212,Dominica,2010,Percentage of individuals using the internet,47.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DMA
509,212,Dominica,2015,Percentage of individuals using the internet,65.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DMA
510,212,Dominica,2019,Percentage of individuals using the internet,73.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DMA
511,212,Dominica,2020,Percentage of individuals using the internet,77.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DMA
512,212,Dominica,2021,Percentage of individuals using the internet,80.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DMA
513,214,Dominican Republic,2000,Percentage of individuals using the internet,3.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DOM
514,214,Dominican Republic,2005,Percentage of individuals using the internet,11.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DOM
515,214,Dominican Republic,2010,Percentage of individuals using the internet,31.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DOM
516,214,Dominican Republic,2015,Percentage of individuals using the internet,54.2,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DOM
517,214,Dominican Republic,2019,Percentage of individuals using the internet,79.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DOM
518,214,Dominican Republic,2020,Percentage of individuals using the internet,82.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DOM
519,214,Dominican Republic,2021,Percentage of individuals using the internet,85.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",DOM
520,218,Ecuador,2000,Percentage of individuals using the internet,1.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ECU
521,218,Ecuador,2005,Percentage of individuals using the internet,6.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ECU
522,218,Ecuador,2010,Percentage of individuals using the internet,29.0,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ECU
523,218,Ecuador,2015,Percentage of individuals using the internet,48.9,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ECU
